ID,name,description,createdAt,createdBy,modifiedAt,modifiedBy
13355817-fdde-41b3-9826-a3b9703ac933,Earth,The human home planet,2001-10-18T23:00:00.000Z,createdBy.7y9ex@example.net,2017-04-10T23:00:00.000Z,modifiedBy.7y9ex@example.com
14708048-ed49-4da5-8bf7-5bcce6eef407,Abydos,Oldest Goauld colony,2012-02-13T23:00:00.000Z,createdBy.8r8sw@example.org,2016-08-12T23:00:00.000Z,modifiedBy.8r8sw@example.org
14708049-f8b2-4417-8b57-2e5348c95fba,Chulak,Jaffa homeworld,2022-03-10T23:00:00.000Z,createdBy.8r8sx@example.org,2002-05-23T23:00:00.000Z,modifiedBy.8r8sx@example.org
14708050-5470-4226-8e1c-820a4663d65e,Dakara,Mythical Jaffa planet,2008-11-18T23:00:00.000Z,createdBy.8r8sy@example.net,2006-02-28T23:00:00.000Z,modifiedBy.8r8sy@example.com
14708051-70f4-4b7d-b51b-5ef2665db5e5,Lantea,The planet where Atlantis is located,2019-05-06T23:00:00.000Z,createdBy.8r8sz@example.com,2015-01-06T23:00:00.000Z,modifiedBy.8r8sz@example.org
14708052-7e67-42ec-a87f-1b2b13af25f9,Orilla,"The Asgard home planet, rich in neutronium",2006-07-28T23:00:00.000Z,createdBy.8r8t0@example.net,2021-01-17T23:00:00.000Z,modifiedBy.8r8t0@example.com
14708053-d69e-4782-9bfe-bd792713d5b8,Sateda,The Satedan home planet,2020-02-20T23:00:00.000Z,createdBy.8r8t1@example.com,2012-12-11T23:00:00.000Z,modifiedBy.8r8t1@example.com
14708054-8179-421d-a88f-11fd0e9e5d32,Tollana,The Tollan home planet,2015-01-15T23:00:00.000Z,createdBy.8r8t2@example.org,2006-06-05T23:00:00.000Z,modifiedBy.8r8t2@example.org
14708055-6547-455d-a238-532c31e09615,Vorash,A planet with a Tokra base on it,2001-10-26T23:00:00.000Z,createdBy.8r8t3@example.org,2018-11-23T23:00:00.000Z,modifiedBy.8r8t3@example.com
14708056-5835-4baf-a5ed-ea0a1a62ebd3,P3X-888,Goauld and Unas origin planet,2015-07-19T23:00:00.000Z,createdBy.8r8t4@example.org,2013-04-04T23:00:00.000Z,modifiedBy.8r8t4@example.net