locale,code,name,descr
"en","ar","Arabic","Arabic"
"en","cs","Czech","Czech"
"en","da","Danish","Danish"
"en","de","German","German"
"en","en","English","English"
"en","es","Spanish","Spanish"
"en","fi","Finnish","Finnish"
"en","fr","French","French"
"en","hu","Hungarian","Hungarian"
"en","it","Italian","Italian"
"en","ja","Japanese","Japanese"
"en","ko","Korean","Korean"
"en","ms","Malay","Malay"
"en","nl","Dutch","Dutch"
"en","no","Norwegian","Norwegian"
"en","pl","Polish","Polish"
"en","pt","Portuguese","Portuguese"
"en","ro","Romanian","Romanian"
"en","ru","Russian","Russian"
"en","sv","Swedish","Swedish"
"en","th","Thai","Thai"
"en","tr","Turkish","Turkish"
"en","zh_CN","Simplified Chinese","Simplified Chinese"
"en","zh_TW","Traditional Chinese","Traditional Chinese"
"hu","ar","Arab","Arab"
"hu","cs","Cseh","Cseh"
"hu","da","Dán","Dán"
"hu","de","Német","Német"
"hu","en","Angol","Angol"
"hu","es","Spanyol","Spanyol"
"hu","fi","Finn","Finn"
"hu","fr","Francia","Francia"
"hu","hu","Magyar","Magyar"
"hu","it","Olasz","Olasz"
"hu","ja","Japán","Japán"
"hu","ko","Koreai","Koreai"
"hu","ms","Maláj","Maláj"
"hu","nl","Holland","Holland"
"hu","no","Norvég","Norvég"
"hu","pl","Lengyel","Lengyel"
"hu","pt","Portugál","Portugál"
"hu","ro","Román","Román"
"hu","ru","Orosz","Orosz"
"hu","sv","Svéd","Svéd"
"hu","th","Thai","Thai"
"hu","tr","Török","Török"
"hu","zh_CN","egyszerűsített kínai","egyszerűsített kínai"
"hu","zh_TW","hagyományos kínai","hagyományos kínai"
"de","ar","Arabisch","Arabisch"
"de","cs","Tschechisch","Tschechisch"
"de","da","Dänisch","Dänisch"
"de","de","Deutsch","Deutsch"
"de","en","Englisch","Englisch"
"de","es","Spanisch","Spanisch"
"de","fi","Finnisch","Finnisch"
"de","fr","Französisch","Französisch"
"de","hu","Ungarisch","Ungarisch"
"de","it","Italienisch","Italienisch"
"de","ja","Japanisch","Japanisch"
"de","ko","Koreanisch","Koreanisch"
"de","ms","Malaiisch","Malaiisch"
"de","nl","Niederländisch","Niederländisch"
"de","no","Norwegisch","Norwegisch"
"de","pl","Polnisch","Polnisch"
"de","pt","Portugiesisch","Portugiesisch"
"de","ro","Rumänisch","Rumänisch"
"de","ru","Russisch","Russisch"
"de","sv","Schwedisch","Schwedisch"
"de","th","Thailändisch","Thailändisch"
"de","tr","Türkisch","Türkisch"
"de","zh_CN","Chinesisch (vereinfacht)","Chinesisch (vereinfacht)"
"de","zh_TW","Chinesisch (traditionell)","Chinesisch (traditionell)"